idx_original;Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
115;7;0.46;1.465;2.64;5.0;0.035;50.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
116;7;0.46;1.465;2.64;5.0;0.035;50.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
117;7;0.46;1.465;2.64;5.0;0.035;50.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
118;7;0.45;1.447;2.327;5.0;0.035;75.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
119;7;0.45;1.447;2.327;5.0;0.035;75.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
120;7;0.45;1.447;2.327;5.0;0.035;75.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
121;7;0.45;1.447;2.327;5.0;0.035;50.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
122;7;0.45;1.447;2.327;5.0;0.035;50.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
123;7;0.45;1.447;2.327;5.0;0.035;50.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
124;8;0.549;2.906;2.686;5.0;0.035;75.0;300.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
125;8;0.549;2.906;2.686;5.0;0.035;75.0;500.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
126;8;0.549;2.906;2.686;5.0;0.035;75.0;700.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
127;8;0.3;2.008;1.644;5.0;0.035;75.0;300.0;0.0;8.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
128;8;0.3;2.008;1.644;5.0;0.035;75.0;500.0;0.0;8.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
129;8;0.3;2.008;1.644;5.0;0.035;75.0;700.0;0.0;8.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
130;8;0.264;1.768;1.327;5.0;0.035;75.0;300.0;0.088;8.0;0.0;0.12;0.0;0.0;0;0.0;0.0;0;0
131;8;0.264;1.768;1.327;5.0;0.035;75.0;500.0;0.088;8.0;0.0;0.12;0.0;0.0;0;0.0;0.0;0;1
132;8;0.264;1.768;1.327;5.0;0.035;75.0;700.0;0.088;8.0;0.0;0.12;0.0;0.0;0;0.0;0.0;0;1
133;8;0.549;2.906;2.686;5.0;0.035;75.0;300.0;0.0;32.0;0.0;0.0;0.0;0.0;0;40.0;0.6;30;0
134;8;0.549;2.906;2.686;5.0;0.035;75.0;500.0;0.0;32.0;0.0;0.0;0.0;0.0;0;40.0;0.6;30;0
135;8;0.549;2.906;2.686;5.0;0.035;75.0;700.0;0.0;32.0;0.0;0.0;0.0;0.0;0;40.0;0.6;30;0
136;8;0.3;2.008;1.644;5.0;0.035;75.0;300.0;0.0;8.0;0.0;0.0;0.0;0.0;0;40.0;0.6;30;0
137;8;0.3;2.008;1.644;5.0;0.035;75.0;500.0;0.0;8.0;0.0;0.0;0.0;0.0;0;40.0;0.6;30;0
138;8;0.3;2.008;1.644;5.0;0.035;75.0;700.0;0.0;8.0;0.0;0.0;0.0;0.0;0;40.0;0.6;30;1
139;8;0.264;1.768;1.327;5.0;0.035;75.0;300.0;0.088;8.0;0.0;0.12;0.0;0.0;0;40.0;0.6;30;0
140;8;0.264;1.768;1.327;5.0;0.035;75.0;500.0;0.088;8.0;0.0;0.12;0.0;0.0;0;40.0;0.6;30;1
141;8;0.264;1.768;1.327;5.0;0.035;75.0;700.0;0.088;8.0;0.0;0.12;0.0;0.0;0;40.0;0.6;30;1
142;9;0.3;1.377;1.404;5.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
143;9;0.3;1.377;1.404;10.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
144;9;0.3;1.377;1.404;40.0;0.067;50.0;800.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
145;9;0.3;1.377;1.404;5.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.9;18.0;6;0.0;0.0;0;0
146;9;0.3;1.377;1.404;10.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.9;18.0;6;0.0;0.0;0;0
147;9;0.3;1.377;1.404;40.0;0.067;50.0;800.0;0.0;13.0;0.0;0.0;0.9;18.0;6;0.0;0.0;0;0
148;9;0.3;1.369;1.393;5.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.9;18.0;6;23.4;0.6;30;0
149;9;0.3;1.369;1.393;10.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.9;18.0;6;23.4;0.6;30;0
150;9;0.3;1.369;1.393;40.0;0.067;50.0;800.0;0.0;13.0;0.0;0.0;0.9;18.0;6;23.4;0.6;30;0
151;9;0.3;1.363;1.39;5.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.9;18.0;6;31.2;0.6;30;0
152;9;0.3;1.363;1.39;10.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.9;18.0;6;31.2;0.6;30;0
153;9;0.3;1.363;1.39;40.0;0.067;50.0;800.0;0.0;13.0;0.0;0.0;0.9;18.0;6;31.2;0.6;30;0
154;9;0.3;1.363;1.39;5.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.9;18.0;6;39.0;0.6;30;0
